identifier_client,quantity,book_price,portfolio_name,position_date,curve_name
US87938WAW38,1961000.0,83.52,USIG01,2025-05-20,USD_SWAP
US31428XBE58,1807000.0,80.89,USIG01,2025-05-20,USD_SWAP
US638671AK35,772000.0,130.11,USIG01,2025-05-20,USD_SWAP
US87938WAU71,3857000.0,87.84,USIG01,2025-05-20,USD_SWAP
US292505AE49,811000.0,98.15,USIG01,2025-05-20,USD_SWAP
US56585AAH59,1177000.0,80.69,USIG01,2025-05-20,USD_SWAP
US682680BY84,825000.0,73.41,USIG01,2025-05-20,USD_SWAP
US761713AZ95,852000.0,98.64,USIG01,2025-05-20,USD_SWAP
US21036PBD96,657000.0,89.33,USIG01,2025-05-20,USD_SWAP
US25179MAN39,1147000.0,80.36,USIG01,2025-05-20,USD_SWAP
US69369EAF60,1985000.0,91.8,USIG01,2025-05-20,USD_SWAP
US458140AV20,1836000.0,72.02,USIG01,2025-05-20,USD_SWAP
US292505AG96,527000.0,97.51,USIG01,2025-05-20,USD_SWAP
US87971MBH51,1239000.0,79.57,USIG01,2025-05-20,USD_SWAP
US89641UAB70,347000.0,98.43,USIG01,2025-05-20,USD_SWAP
US114259AU84,547000.0,77.96,USIG01,2025-05-20,USD_SWAP
US69369EAD13,1900000.0,95.78,USIG01,2025-05-20,USD_SWAP
US72650RBE18,874000.0,80.21,USIG01,2025-05-20,USD_SWAP
US92556VAE65,2316000.0,69.9,USIG01,2025-05-20,USD_SWAP
US83368RBK77,1155000.0,71.57,USIG01,2025-05-20,USD_SWAP
US71568PAB58,1623000.0,86.88,USIG01,2025-05-20,USD_SWAP
US458140CH18,1550000.0,91.85,USIG01,2025-05-20,USD_SWAP
US49456BAJ08,842000.0,85.53,USIG01,2025-05-20,USD_SWAP
US50247VAB53,1158000.0,87.24,USIG01,2025-05-20,USD_SWAP
US30260LAA35,618364.0,91.83,USIG01,2025-05-20,USD_SWAP
US50247VAC37,1397000.0,82.63,USIG01,2025-05-20,USD_SWAP
US494550BU93,1178000.0,91.2,USIG01,2025-05-20,USD_SWAP
US49456BAH42,2558000.0,92.17,USIG01,2025-05-20,USD_SWAP
US43474TAB98,360000.0,103.51,USIG01,2025-05-20,USD_SWAP
US05526DBF15,3036000.0,78.76,USIG01,2025-05-20,USD_SWAP
US69370NAA46,727000.0,89.84,USIG01,2025-05-20,USD_SWAP
US86765BAK52,497000.0,97.09,USIG01,2025-05-20,USD_SWAP
US40052VAE48,858000.0,81.21,USIG01,2025-05-20,USD_SWAP
US337932AJ65,1005000.0,83.32,USIG01,2025-05-20,USD_SWAP
US970648AH45,690000.0,86.64,USIG01,2025-05-20,USD_SWAP
US172967HA25,1502000.0,105.84,USIG01,2025-05-20,USD_SWAP
US18551PAD15,542000.0,84.31,USIG01,2025-05-20,USD_SWAP
US70462GAA67,645000.0,82.95,USIG01,2025-05-20,USD_SWAP
US960413AS12,1040000.0,85.33,USIG01,2025-05-20,USD_SWAP
US224044BY29,645000.0,80.39,USIG01,2025-05-20,USD_SWAP
US570535AT11,980000.0,86.31,USIG01,2025-05-20,USD_SWAP
US853254AN08,2306000.0,93.74,USIG01,2025-05-20,USD_SWAP
US29273RAT68,718000.0,86.17,USIG01,2025-05-20,USD_SWAP
US268317AT16,2019000.0,86.13,USIG01,2025-05-20,USD_SWAP
US494550BW59,825000.0,90.07,USIG01,2025-05-20,USD_SWAP
US539439AN92,855000.0,89.34,USIG01,2025-05-20,USD_SWAP
US29250NAM74,1071000.0,92.72,USIG01,2025-05-20,USD_SWAP
